id,month,fuel_type_petrol,fuel_type_diesel,fuel_type_electric,fuel_type_others,vehicleClass_MotorCycle,vehicleClass_MotorCar,vehicleClass_AutoRickshaw,vehicleClass_Agriculture,vehicleClass_others,seatCapacity_1_to_3,seatCapacity_4_to_6,seatCapacity_above_6,brand_new_vehicles,pre_owned_vehicles,category_non_transport,category_transport,district,mmm,quarter,fiscal_year
927,2021-10-01,3446,490,72,5,3053,549,31,178,202,3410,509,94,3751,262,3789,224,Karimnagar,Oct,Q3,2021
928,2021-10-01,20888,2089,532,183,15849,6743,4,100,996,16817,6113,752,21204,2488,22784,908,Rangareddy,Oct,Q3,2021
929,2021-10-01,3131,453,18,6,2865,331,26,170,216,3227,314,67,3493,115,3378,230,Kamareddy,Oct,Q3,2021
930,2021-10-01,1688,249,30,7,1536,195,10,73,160,1767,179,28,1908,66,1804,170,Rajanna Sircilla,Oct,Q3,2021
931,2021-11-01,2106,218,10,3,1973,168,13,88,95,2133,167,37,2265,72,2235,102,Kamareddy,Nov,Q3,2021
932,2021-11-01,18753,1858,519,115,14607,5681,10,48,899,15398,5131,706,19058,2187,20417,828,Rangareddy,Nov,Q3,2021
933,2021-11-01,1354,169,16,2,1286,107,31,52,65,1388,134,19,1487,54,1445,96,Wanaparthy,Nov,Q3,2021
934,2021-11-01,23949,1676,804,807,21341,4419,625,2,849,22059,4487,690,24662,2574,25827,1409,Hyderabad,Nov,Q3,2021
935,2021-11-01,20585,1998,634,214,17172,5132,4,35,1088,18109,4613,688,21270,2161,22423,1008,Medchal_Malkajgiri,Nov,Q3,2021
936,2021-11-01,5054,646,114,237,4207,1213,203,113,315,4590,1270,189,5570,481,5569,482,Sangareddy,Nov,Q3,2021
937,2021-11-01,1668,239,22,29,1541,177,26,74,140,1748,186,24,1876,82,1795,163,Medak,Nov,Q3,2021
938,2021-11-01,4395,466,131,12,3993,594,46,149,222,4345,595,64,4842,162,4745,259,Nizamabad,Nov,Q3,2021
939,2021-11-01,1009,124,4,2,964,50,21,8,96,1065,66,8,1117,22,1024,115,Kumurambheem Asifabad,Nov,Q3,2021
940,2021-11-01,3647,471,6,26,3247,525,76,120,182,3520,539,91,3981,169,3902,248,Khammam,Nov,Q3,2021
941,2021-11-01,1685,259,0,2,1564,127,20,49,186,1754,144,48,1874,72,1742,204,Mahabubabad,Nov,Q3,2021
942,2021-11-01,2245,417,8,2,1999,285,53,89,246,2300,319,53,2558,114,2378,294,Bhadradri Kothagudem,Nov,Q3,2021
943,2021-11-01,1687,154,4,0,1509,209,22,15,90,1614,204,27,1816,29,1733,112,Adilabad,Nov,Q3,2021
944,2021-11-01,1147,137,44,4,1062,130,2,40,98,1192,126,14,1260,72,1232,100,Rajanna Sircilla,Nov,Q3,2021
945,2021-11-01,2613,282,18,16,2377,295,30,83,144,2579,305,44,2798,131,2757,172,Warangal,Nov,Q3,2021
946,2021-11-01,3100,249,24,8,2732,449,32,62,106,2885,429,67,3193,188,3250,131,Karimnagar,Nov,Q3,2021
947,2021-11-01,3966,640,34,355,3611,469,367,290,258,4128,804,63,4818,177,4376,619,Nalgonda,Nov,Q3,2021
948,2021-11-01,2020,158,16,6,1816,242,22,12,108,1918,248,34,2092,108,2074,126,Mancherial,Nov,Q3,2021
949,2021-11-01,3620,473,33,23,3223,504,85,173,164,3542,528,79,4010,139,3923,226,Vikarabad,Nov,Q3,2021
950,2021-11-01,1772,208,16,0,1571,239,9,47,130,1708,247,41,1895,101,1863,133,Peddapalli,Nov,Q3,2021
951,2021-11-01,1164,138,6,0,1093,82,5,67,61,1216,80,12,1242,66,1244,64,Jogulamba Gadwal,Nov,Q3,2021
952,2021-11-01,2107,143,25,6,1970,174,11,51,75,2086,175,20,2193,88,2197,84,Jagtial,Nov,Q3,2021
953,2021-11-01,1863,167,14,0,1726,161,25,59,73,1852,178,14,1991,53,1954,90,Nirmal,Nov,Q3,2021
954,2021-11-01,1629,305,18,2,1517,147,13,108,169,1774,154,26,1875,79,1783,171,Nagarkurnool,Nov,Q3,2021
955,2021-11-01,2407,290,30,79,2172,320,55,141,118,2428,326,52,2685,121,2638,168,Siddipet,Nov,Q3,2021
956,2021-11-01,2681,311,32,0,2467,293,36,66,162,2672,289,63,2902,122,2840,184,Mahabubnagar,Nov,Q3,2021
957,2021-11-01,1493,208,2,2,1353,162,18,115,57,1513,168,24,1623,82,1636,69,Jayashankar Bhupalpally,Nov,Q3,2021
958,2021-11-01,1333,163,8,14,1223,125,20,82,68,1371,127,20,1465,53,1430,88,Jangoan,Nov,Q3,2021
959,2021-11-01,1993,323,24,102,1806,237,110,120,169,2087,311,44,2341,101,2177,265,Yadadri Bhuvanagiri,Nov,Q3,2021
960,2021-11-01,2332,505,18,14,2153,240,21,166,289,2562,245,58,2790,79,2566,303,Suryapet,Nov,Q3,2021
961,2021-12-01,2093,173,12,4,1849,265,12,54,102,1990,271,21,2210,72,2174,108,Kamareddy,Dec,Q3,2021
962,2021-12-01,1196,171,9,2,1077,142,15,47,97,1217,139,22,1326,52,1268,110,Rajanna Sircilla,Dec,Q3,2021
963,2021-12-01,842,153,12,2,742,140,12,40,75,856,134,19,971,38,926,83,Wanaparthy,Dec,Q3,2021
964,2021-12-01,20590,2091,724,702,16892,5385,474,0,1356,17952,5340,811,21569,2538,22334,1773,Hyderabad,Dec,Q3,2021
965,2021-12-01,18439,2346,611,265,13368,7001,2,35,1255,14466,6389,804,19406,2255,20471,1190,Medchal_Malkajgiri,Dec,Q3,2021
966,2021-12-01,4681,740,177,252,3364,1706,193,120,467,3896,1766,188,5358,492,5221,629,Sangareddy,Dec,Q3,2021
967,2021-12-01,1591,284,13,44,1379,242,45,116,150,1632,267,33,1842,90,1746,186,Medak,Dec,Q3,2021
968,2021-12-01,4054,378,82,7,3540,658,50,97,176,3788,652,81,4335,186,4305,216,Nizamabad,Dec,Q3,2021
969,2021-12-01,807,121,0,0,726,77,22,4,99,821,93,14,896,32,811,117,Kumurambheem Asifabad,Dec,Q3,2021
970,2021-12-01,2842,518,14,35,2281,714,60,133,221,2604,721,84,3209,200,3150,259,Khammam,Dec,Q3,2021
971,2021-12-01,1181,219,0,5,1056,146,11,40,152,1223,149,33,1332,73,1243,162,Mahabubabad,Dec,Q3,2021
972,2021-12-01,1818,421,1,8,1398,479,43,109,219,1685,474,87,2132,116,1988,260,Bhadradri Kothagudem,Dec,Q3,2021
973,2021-12-01,1202,184,34,2,1068,180,37,25,112,1196,215,11,1387,35,1279,143,Adilabad,Dec,Q3,2021
974,2021-12-01,2076,268,29,36,1814,353,41,56,145,1997,345,67,2274,135,2229,180,Warangal,Dec,Q3,2021
975,2021-12-01,1770,256,18,106,1412,379,105,83,171,1656,445,49,2044,106,1882,268,Yadadri Bhuvanagiri,Dec,Q3,2021
976,2021-12-01,17402,2147,484,249,11531,7780,8,25,938,12286,7032,955,17731,2551,19400,882,Rangareddy,Dec,Q3,2021
977,2021-12-01,2037,497,9,18,1783,317,27,185,249,2171,327,63,2440,121,2297,264,Suryapet,Dec,Q3,2021
978,2021-12-01,1097,193,8,12,969,165,7,84,85,1133,147,30,1246,64,1224,86,Jangoan,Dec,Q3,2021
979,2021-12-01,1082,239,3,0,891,220,16,124,73,1078,204,42,1247,77,1237,87,Jayashankar Bhupalpally,Dec,Q3,2021
980,2021-12-01,1970,443,34,1,1629,424,45,113,237,1969,419,60,2315,133,2174,274,Mahabubnagar,Dec,Q3,2021
981,2021-12-01,2446,310,65,14,1996,586,29,71,153,2189,586,60,2626,209,2670,165,Karimnagar,Dec,Q3,2021
982,2021-12-01,1390,433,13,2,1208,221,14,174,221,1592,218,28,1769,69,1622,216,Nagarkurnool,Dec,Q3,2021
983,2021-12-01,1401,143,28,11,1253,192,23,64,51,1364,207,12,1537,46,1511,72,Nirmal,Dec,Q3,2021
984,2021-12-01,2491,386,14,74,2156,384,49,203,173,2506,423,36,2800,165,2763,202,Siddipet,Dec,Q3,2021
985,2021-12-01,690,163,2,0,625,84,7,67,72,758,80,17,826,29,780,75,Jogulamba Gadwal,Dec,Q3,2021
986,2021-12-01,1434,253,22,3,1181,293,15,65,158,1348,331,33,1596,116,1541,171,Peddapalli,Dec,Q3,2021
987,2021-12-01,2675,482,23,44,2198,595,135,119,177,2476,679,69,3026,198,2941,283,Vikarabad,Dec,Q3,2021
988,2021-12-01,1594,237,21,6,1361,275,42,24,156,1519,308,31,1747,111,1667,191,Mancherial,Dec,Q3,2021
989,2021-12-01,3067,597,53,177,2602,605,193,192,302,3066,729,97,3718,176,3411,483,Nalgonda,Dec,Q3,2021
990,2021-12-01,1875,156,42,12,1707,224,26,67,61,1829,238,18,1997,88,2002,83,Jagtial,Dec,Q3,2021
991,2022-01-01,2481,499,28,10,2339,208,24,152,295,2761,214,43,2918,100,2709,309,Suryapet,Jan,Q4,2021
992,2022-01-01,3822,804,66,235,3540,409,254,331,393,4243,630,54,4761,166,4288,639,Nalgonda,Jan,Q4,2021
993,2022-01-01,1244,232,25,4,1114,170,36,33,152,1289,179,37,1410,95,1318,187,Mancherial,Jan,Q4,2021
994,2022-01-01,2789,507,37,41,2516,395,88,223,152,2883,442,49,3202,172,3144,230,Vikarabad,Jan,Q4,2021
995,2022-01-01,1242,223,29,1,1151,158,28,38,120,1271,169,55,1391,104,1349,146,Peddapalli,Jan,Q4,2021
996,2022-01-01,1863,376,41,6,1727,243,36,85,195,1991,260,33,2169,117,2058,228,Mahabubnagar,Jan,Q4,2021
997,2022-01-01,1523,152,44,12,1446,148,18,42,77,1562,156,13,1667,64,1640,91,Jagtial,Jan,Q4,2021
998,2022-01-01,1157,138,34,10,1101,113,16,46,63,1205,116,18,1301,38,1264,75,Nirmal,Jan,Q4,2021
999,2022-01-01,1481,594,17,0,1379,139,13,186,375,1896,180,16,2034,58,1712,380,Nagarkurnool,Jan,Q4,2021
1000,2022-01-01,1976,346,60,55,1876,224,43,154,140,2162,253,22,2312,125,2264,173,Siddipet,Jan,Q4,2021
1001,2022-01-01,2109,303,136,8,1915,399,22,67,153,2125,385,46,2369,187,2397,159,Karimnagar,Jan,Q4,2021
1002,2022-01-01,1090,214,2,0,1046,67,9,100,84,1226,66,14,1269,37,1215,91,Jogulamba Gadwal,Jan,Q4,2021
1003,2022-01-01,1762,377,27,102,1575,261,116,97,221,1886,356,28,2217,53,1945,325,Yadadri Bhuvanagiri,Jan,Q4,2021
1004,2022-01-01,2797,297,182,8,2662,384,36,52,150,2853,395,36,3141,143,3110,174,Nizamabad,Jan,Q4,2021
1005,2022-01-01,958,164,36,2,892,129,35,20,84,992,154,14,1135,25,1043,117,Adilabad,Jan,Q4,2021
1006,2022-01-01,2412,393,11,6,2209,261,77,114,161,2460,333,29,2705,117,2586,236,Bhadradri Kothagudem,Jan,Q4,2021
1007,2022-01-01,1482,223,6,8,1391,116,12,38,162,1579,118,22,1665,54,1551,168,Mahabubabad,Jan,Q4,2021
1008,2022-01-01,3492,537,10,79,3149,466,116,147,240,3509,543,64,3953,165,3775,343,Khammam,Jan,Q4,2021
1009,2022-01-01,1009,220,6,0,979,38,20,9,189,1172,55,8,1200,35,1028,207,Kumurambheem Asifabad,Jan,Q4,2021
1010,2022-01-01,1254,218,21,42,1165,135,37,67,131,1357,162,16,1483,52,1384,151,Medak,Jan,Q4,2021
1011,2022-01-01,4018,602,158,232,3418,988,216,102,286,3785,1110,115,4586,424,4538,472,Sangareddy,Jan,Q4,2021
1012,2022-01-01,14564,2281,668,162,11864,4395,6,27,1383,13157,4070,448,15912,1763,16342,1333,Medchal_Malkajgiri,Jan,Q4,2021
1013,2022-01-01,17718,1608,1015,586,15961,3489,458,8,1011,16807,3717,401,18840,2087,19496,1431,Hyderabad,Jan,Q4,2021
1014,2022-01-01,956,170,26,0,900,92,17,74,69,1041,98,13,1122,30,1068,84,Wanaparthy,Jan,Q4,2021
1015,2022-01-01,13649,2114,649,199,10565,4698,2,34,1312,11716,4404,485,14815,1796,15348,1263,Rangareddy,Jan,Q4,2021
1016,2022-01-01,1103,233,10,9,1013,111,25,140,66,1211,122,22,1301,54,1266,89,Jayashankar Bhupalpally,Jan,Q4,2021
1017,2022-01-01,2090,223,53,34,1925,258,31,59,127,2101,255,44,2291,109,2246,154,Warangal,Jan,Q4,2021
1018,2022-01-01,1170,198,10,10,1088,98,14,102,86,1272,100,16,1331,57,1290,98,Jangoan,Jan,Q4,2021
1019,2022-01-01,953,125,42,2,915,97,6,30,74,1011,103,8,1056,66,1044,78,Rajanna Sircilla,Jan,Q4,2021
1020,2022-01-01,1552,155,16,5,1416,165,10,53,84,1537,168,23,1664,64,1636,92,Kamareddy,Jan,Q4,2021
1021,2022-02-01,16066,2461,1078,214,12467,6115,4,35,1198,13514,5513,779,17540,2279,18715,1104,Rangareddy,Feb,Q4,2021
1022,2022-02-01,968,185,21,2,880,132,22,49,93,1018,138,20,1131,45,1069,107,Wanaparthy,Feb,Q4,2021
1023,2022-02-01,19858,2134,1498,805,17869,4650,580,4,1190,18851,4670,774,21749,2546,22576,1719,Hyderabad,Feb,Q4,2021
1024,2022-02-01,16796,2577,1231,214,13840,5429,0,26,1521,15248,4854,710,18868,1950,19360,1458,Medchal_Malkajgiri,Feb,Q4,2021
1025,2022-02-01,4966,810,243,202,4122,1425,139,144,391,4623,1407,191,5648,573,5729,492,Sangareddy,Feb,Q4,2021
1026,2022-02-01,1631,246,25,52,1448,260,35,73,138,1659,255,40,1866,88,1793,161,Medak,Feb,Q4,2021
1027,2022-02-01,3833,447,224,11,3553,619,53,87,203,3831,618,66,4349,166,4275,240,Nizamabad,Feb,Q4,2021
1028,2022-02-01,1094,249,4,0,1036,71,21,14,205,1250,84,13,1315,32,1122,225,Kumurambheem Asifabad,Feb,Q4,2021
1029,2022-02-01,3200,522,31,124,2782,593,143,129,230,3103,666,108,3643,234,3515,362,Khammam,Feb,Q4,2021
1030,2022-02-01,1453,236,12,7,1356,131,18,61,142,1540,133,35,1635,73,1552,156,Mahabubabad,Feb,Q4,2021
1031,2022-02-01,2408,460,23,2,2143,345,72,131,202,2449,389,55,2777,116,2623,270,Bhadradri Kothagudem,Feb,Q4,2021
1032,2022-02-01,1719,386,42,0,1626,156,20,67,278,1964,160,23,2109,38,1853,294,Adilabad,Feb,Q4,2021
1033,2022-02-01,1812,228,48,37,1662,253,37,58,115,1812,262,51,2021,104,1979,146,Warangal,Feb,Q4,2021
1034,2022-02-01,1761,346,36,78,1523,296,80,78,244,1836,335,50,2135,86,1904,317,Yadadri Bhuvanagiri,Feb,Q4,2021
1035,2022-02-01,2287,446,104,4,1981,502,30,131,197,2297,472,72,2671,170,2636,205,Karimnagar,Feb,Q4,2021
1036,2022-02-01,2146,515,48,39,1963,309,35,158,283,2362,307,75,2646,102,2438,310,Suryapet,Feb,Q4,2021
1037,2022-02-01,3229,738,89,168,2908,502,173,271,370,3514,619,91,4040,184,3689,535,Nalgonda,Feb,Q4,2021
1038,2022-02-01,1348,335,29,9,1179,241,38,58,205,1429,262,30,1647,74,1488,233,Mancherial,Feb,Q4,2021
1039,2022-02-01,3388,646,56,43,2940,608,96,221,270,3403,639,93,3969,166,3805,330,Vikarabad,Feb,Q4,2021
1040,2022-02-01,1391,228,42,4,1226,246,22,41,130,1364,232,69,1562,103,1520,145,Peddapalli,Feb,Q4,2021
1041,2022-02-01,1140,162,8,0,1064,102,6,64,74,1198,98,14,1262,48,1232,78,Jogulamba Gadwal,Feb,Q4,2021
1042,2022-02-01,1887,140,83,8,1779,207,22,39,71,1887,210,21,2060,58,2029,89,Jagtial,Feb,Q4,2021
1043,2022-02-01,1786,195,75,6,1698,197,30,77,60,1833,205,24,2015,47,1974,88,Nirmal,Feb,Q4,2021
1044,2022-02-01,1663,462,26,6,1506,198,7,117,329,1932,199,26,2080,77,1837,320,Nagarkurnool,Feb,Q4,2021
1045,2022-02-01,2142,284,75,68,1979,330,29,88,143,2192,304,73,2430,139,2403,166,Siddipet,Feb,Q4,2021
1046,2022-02-01,995,165,11,10,916,107,8,69,81,1060,100,21,1123,58,1095,86,Jangoan,Feb,Q4,2021
1047,2022-02-01,1180,180,43,5,1061,165,8,45,129,1215,175,18,1339,69,1279,129,Rajanna Sircilla,Feb,Q4,2021
1048,2022-02-01,2119,168,33,8,1944,234,12,39,99,2053,229,46,2253,75,2219,109,Kamareddy,Feb,Q4,2021
1049,2022-02-01,1030,211,32,1,950,118,10,100,96,1137,128,9,1222,52,1174,100,Jayashankar Bhupalpally,Feb,Q4,2021
1050,2022-02-01,2263,396,34,6,2058,303,42,56,240,2332,334,33,2585,114,2427,272,Mahabubnagar,Feb,Q4,2021
1051,2022-03-01,1051,160,51,0,978,128,3,48,105,1119,125,18,1178,84,1160,102,Rajanna Sircilla,Mar,Q4,2021
1052,2022-03-01,1081,133,16,8,982,129,12,38,79,1089,133,18,1169,71,1157,83,Jangoan,Mar,Q4,2021
1053,2022-03-01,1114,283,26,7,1015,151,7,191,66,1268,138,24,1377,53,1360,70,Jayashankar Bhupalpally,Mar,Q4,2021
1054,2022-03-01,2166,448,71,5,1911,408,14,87,270,2228,393,69,2517,173,2428,262,Mahabubnagar,Mar,Q4,2021
1055,2022-03-01,2159,402,47,67,1919,418,29,142,167,2204,386,85,2526,149,2502,173,Siddipet,Mar,Q4,2021
1056,2022-03-01,1707,524,6,2,1547,196,19,194,283,2008,215,16,2155,84,1955,284,Nagarkurnool,Mar,Q4,2021
1057,2022-03-01,1569,192,72,18,1500,177,37,52,85,1631,199,21,1799,52,1736,115,Nirmal,Mar,Q4,2021
1058,2022-03-01,1656,197,83,6,1518,245,28,29,122,1657,255,30,1849,93,1800,142,Jagtial,Mar,Q4,2021
1059,2022-03-01,1183,210,11,2,1097,119,10,93,87,1273,116,17,1346,60,1315,91,Jogulamba Gadwal,Mar,Q4,2021
1060,2022-03-01,1360,226,40,10,1196,232,22,35,151,1338,258,40,1500,136,1465,171,Peddapalli,Mar,Q4,2021
1061,2022-03-01,3251,561,63,19,2815,647,51,175,206,3174,633,87,3682,212,3662,232,Vikarabad,Mar,Q4,2021
1062,2022-03-01,1558,274,32,4,1380,263,44,21,160,1544,274,50,1767,101,1671,197,Mancherial,Mar,Q4,2021
1063,2022-03-01,21162,2447,1628,1500,18759,5395,946,0,1637,19799,5968,966,24139,2598,24225,2512,Hyderabad,Mar,Q4,2021
1064,2022-03-01,2267,787,158,17,1985,584,22,179,459,2582,520,127,2982,247,2780,449,Karimnagar,Mar,Q4,2021
1065,2022-03-01,1799,422,63,39,1526,386,34,133,244,1881,383,59,2190,133,2061,262,Yadadri Bhuvanagiri,Mar,Q4,2021
1066,2022-03-01,2012,263,78,62,1828,344,47,49,149,2008,338,71,2267,150,2243,174,Warangal,Mar,Q4,2021
1067,2022-03-01,1668,247,50,4,1559,193,28,42,147,1738,216,15,1909,60,1794,175,Adilabad,Mar,Q4,2021
1068,2022-03-01,2382,445,20,4,2076,372,76,98,229,2358,425,68,2714,137,2550,301,Bhadradri Kothagudem,Mar,Q4,2021
1069,2022-03-01,1395,253,12,15,1298,136,32,50,159,1484,151,40,1623,52,1488,187,Mahabubabad,Mar,Q4,2021
1070,2022-03-01,3223,732,60,153,2815,633,178,191,351,3305,739,122,3944,224,3677,491,Khammam,Mar,Q4,2021
1071,2022-03-01,1018,169,8,2,961,75,23,11,127,1091,96,10,1167,30,1048,149,Kumurambheem Asifabad,Mar,Q4,2021
1072,2022-03-01,3249,364,223,14,2984,579,51,62,174,3197,562,89,3659,191,3635,215,Nizamabad,Mar,Q4,2021
1073,2022-03-01,1603,270,31,64,1467,234,31,80,156,1694,242,32,1880,88,1790,178,Medak,Mar,Q4,2021
1074,2022-03-01,4720,951,303,181,3947,1460,135,113,500,4509,1420,226,5619,536,5578,577,Sangareddy,Mar,Q4,2021
1075,2022-03-01,18338,3245,1362,272,14954,6491,4,46,1722,16497,5685,1031,20863,2354,21576,1641,Medchal_Malkajgiri,Mar,Q4,2021
1076,2022-03-01,2267,706,34,24,2041,345,28,209,408,2605,329,97,2907,124,2617,414,Suryapet,Mar,Q4,2021
1077,2022-03-01,3127,736,73,17,2803,526,10,197,417,3371,474,108,3752,201,3549,404,Nalgonda,Mar,Q4,2021
1078,2022-03-01,1949,193,44,8,1801,224,32,39,98,1926,236,32,2089,105,2068,126,Kamareddy,Mar,Q4,2021
1079,2022-03-01,17657,2930,1142,268,13100,7383,2,25,1487,14382,6504,1111,19417,2580,20636,1361,Rangareddy,Mar,Q4,2021
1080,2022-03-01,1078,228,13,6,962,146,10,82,125,1157,155,13,1280,45,1202,123,Wanaparthy,Mar,Q4,2021
1081,2022-04-01,936,312,16,2,872,106,10,50,228,1148,104,14,1230,36,1038,228,Wanaparthy,Apr,Q1,2022
1082,2022-04-01,1291,211,34,2,1211,127,16,129,55,1388,132,18,1481,57,1469,69,Jayashankar Bhupalpally,Apr,Q1,2022
1083,2022-04-01,2185,433,55,8,2004,283,26,74,294,2341,301,39,2538,143,2375,306,Mahabubnagar,Apr,Q1,2022
1084,2022-04-01,2034,521,44,38,1834,311,22,213,257,2269,316,52,2518,119,2363,274,Siddipet,Apr,Q1,2022
1085,2022-04-01,1489,383,24,4,1356,184,11,88,261,1656,219,25,1836,64,1634,266,Nagarkurnool,Apr,Q1,2022
1086,2022-04-01,1506,192,88,2,1441,176,20,60,91,1576,182,30,1746,42,1681,107,Nirmal,Apr,Q1,2022
1087,2022-04-01,1691,162,64,9,1547,250,26,65,38,1648,261,17,1819,107,1867,59,Jagtial,Apr,Q1,2022
1088,2022-04-01,1112,301,14,4,1055,94,2,63,217,1331,85,15,1390,41,1216,215,Jogulamba Gadwal,Apr,Q1,2022
1089,2022-04-01,1331,194,38,0,1147,271,13,40,92,1259,256,48,1466,97,1462,101,Peddapalli,Apr,Q1,2022
1090,2022-04-01,3480,487,36,19,3067,557,53,184,161,3392,549,81,3818,204,3822,200,Vikarabad,Apr,Q1,2022
1091,2022-04-01,1686,318,16,2,1502,230,26,18,246,1754,232,36,1917,105,1754,268,Mancherial,Apr,Q1,2022
1092,2022-04-01,2914,518,48,11,2588,446,26,180,251,2990,449,52,3311,180,3229,262,Nalgonda,Apr,Q1,2022
1093,2022-04-01,1988,531,72,46,1814,273,36,111,403,2251,324,62,2484,153,2213,424,Suryapet,Apr,Q1,2022
1094,2022-04-01,2268,1957,119,16,1948,522,43,57,1790,3675,538,147,4172,188,2631,1729,Karimnagar,Apr,Q1,2022
1095,2022-04-01,1040,177,22,11,961,106,14,94,75,1117,125,8,1194,56,1161,89,Jangoan,Apr,Q1,2022
1096,2022-04-01,2007,214,59,72,1845,298,59,38,114,1981,314,59,2238,116,2183,171,Warangal,Apr,Q1,2022
1097,2022-04-01,1545,182,8,0,1450,129,18,29,109,1586,142,7,1703,32,1610,125,Adilabad,Apr,Q1,2022
1098,2022-04-01,2356,549,33,12,2161,301,94,170,224,2520,372,51,2832,118,2638,312,Bhadradri Kothagudem,Apr,Q1,2022
1099,2022-04-01,1326,313,7,6,1223,124,23,65,217,1478,140,34,1607,45,1414,238,Mahabubabad,Apr,Q1,2022
1100,2022-04-01,3230,549,51,164,2898,554,170,174,202,3246,656,96,3785,213,3646,352,Khammam,Apr,Q1,2022
1101,2022-04-01,1021,120,6,2,959,78,12,6,94,1057,76,16,1124,25,1043,106,Kumurambheem Asifabad,Apr,Q1,2022
1102,2022-04-01,3303,662,171,12,2865,634,54,75,520,3352,673,121,3996,152,3577,571,Nizamabad,Apr,Q1,2022
1103,2022-04-01,1700,280,32,51,1536,263,25,96,145,1772,259,34,1974,91,1897,168,Medak,Apr,Q1,2022
1104,2022-04-01,4930,912,291,150,4182,1382,112,108,499,4750,1342,190,5742,541,5715,568,Sangareddy,Apr,Q1,2022
1105,2022-04-01,19054,2525,1442,340,16027,5872,4,18,1440,17150,5436,761,20872,2489,22011,1350,Medchal_Malkajgiri,Apr,Q1,2022
1106,2022-04-01,20341,2013,1605,1088,18533,4481,751,2,1280,19405,4849,789,22394,2653,23081,1966,Hyderabad,Apr,Q1,2022
1107,2022-04-01,17522,2203,1250,276,13642,6463,8,13,1125,14508,5802,933,18663,2588,20197,1054,Rangareddy,Apr,Q1,2022
1108,2022-04-01,1691,293,16,20,1463,276,8,96,177,1721,268,31,1941,79,1847,173,Yadadri Bhuvanagiri,Apr,Q1,2022
1109,2022-04-01,950,172,20,6,856,146,6,47,93,992,140,16,1089,59,1049,99,Rajanna Sircilla,Apr,Q1,2022
1110,2022-04-01,1957,299,31,12,1795,205,9,54,236,2040,238,21,2231,68,2060,239,Kamareddy,Apr,Q1,2022
1111,2022-05-01,1937,622,18,13,1731,180,16,59,604,2251,245,94,2523,67,1990,600,Kamareddy,May,Q1,2022
1112,2022-05-01,20544,1614,1106,966,17705,4735,689,2,1099,18409,4945,866,21340,2890,22476,1754,Hyderabad,May,Q1,2022
1113,2022-05-01,17664,2325,850,294,13966,5521,0,26,1620,15294,5006,801,18867,2266,19557,1576,Medchal_Malkajgiri,May,Q1,2022
1114,2022-05-01,4945,737,152,182,4078,1299,137,109,393,4552,1259,203,5518,498,5513,503,Sangareddy,May,Q1,2022
1115,2022-05-01,1305,348,16,47,1152,211,40,143,170,1452,219,45,1625,91,1512,204,Medak,May,Q1,2022
1116,2022-05-01,3493,492,93,13,3011,612,44,105,319,3314,656,119,3919,172,3740,351,Nizamabad,May,Q1,2022
1117,2022-05-01,696,253,2,0,654,41,25,6,225,865,69,17,924,27,701,250,Kumurambheem Asifabad,May,Q1,2022
1118,2022-05-01,3011,795,24,174,2575,593,203,312,323,3173,741,92,3828,178,3563,443,Khammam,May,Q1,2022
1119,2022-05-01,1072,423,0,13,972,114,39,128,255,1338,138,32,1454,54,1224,284,Mahabubabad,May,Q1,2022
1120,2022-05-01,1589,546,31,10,1367,272,67,240,230,1799,304,65,2084,92,1883,293,Bhadradri Kothagudem,May,Q1,2022
1121,2022-05-01,1245,248,12,0,1123,151,25,30,176,1297,171,37,1477,28,1304,201,Adilabad,May,Q1,2022
1122,2022-05-01,1972,401,20,81,1673,333,79,81,310,2015,397,62,2345,131,2092,384,Warangal,May,Q1,2022
1123,2022-05-01,1602,447,26,40,1338,349,19,249,160,1727,316,72,2027,88,1944,171,Yadadri Bhuvanagiri,May,Q1,2022
1124,2022-05-01,2504,2278,52,33,1800,451,67,194,2355,3829,767,265,4659,208,2502,2365,Karimnagar,May,Q1,2022
1125,2022-05-01,1965,661,36,38,1723,310,30,245,392,2269,357,74,2565,135,2290,410,Suryapet,May,Q1,2022
1126,2022-05-01,1278,172,23,10,1100,227,20,15,121,1210,223,50,1382,101,1345,138,Mancherial,May,Q1,2022
1127,2022-05-01,3030,580,18,40,2566,564,84,147,307,2968,618,82,3455,213,3281,387,Vikarabad,May,Q1,2022
1128,2022-05-01,1136,185,24,2,965,228,25,52,77,1069,224,52,1264,83,1249,98,Peddapalli,May,Q1,2022
1129,2022-05-01,999,210,8,0,924,80,5,79,129,1112,88,17,1179,38,1085,132,Jogulamba Gadwal,May,Q1,2022
1130,2022-05-01,1542,260,41,14,1399,200,18,54,186,1620,197,40,1756,101,1653,204,Jagtial,May,Q1,2022
1131,2022-05-01,1424,316,108,4,1383,156,14,51,248,1639,185,28,1816,36,1596,256,Nirmal,May,Q1,2022
1132,2022-05-01,1390,489,12,6,1197,208,22,179,291,1636,217,44,1844,53,1597,300,Nagarkurnool,May,Q1,2022
1133,2022-05-01,1772,492,53,42,1582,299,13,271,194,2021,300,38,2239,120,2153,206,Siddipet,May,Q1,2022
1134,2022-05-01,2001,424,24,24,1733,280,39,80,341,2058,310,105,2345,128,2103,370,Mahabubnagar,May,Q1,2022
1135,2022-05-01,859,422,7,6,759,106,15,170,244,1156,109,29,1250,44,1036,258,Jayashankar Bhupalpally,May,Q1,2022
